,Instruction,text,finetunetext
51,What can be  the punishment for Online Sexual Exploitation: Exploiting someone sexually through the internet,"For the offence of Online Sexual Exploitation: Exploiting someone sexually through the internet, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Online Sexual Exploitation: Exploiting someone sexually through the internet according the law and acts of Nepal? [/INST]  For the offence of Online Sexual Exploitation: Exploiting someone sexually through the internet ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
52,What can be  the punishment for Violation of Parental Rights: Denying a woman her parental rights,"For the offence of Violation of Parental Rights: Denying a woman her parental rights, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Violation of Parental Rights: Denying a woman her parental rights according the law and acts of Nepal? [/INST]  For the offence of Violation of Parental Rights: Denying a woman her parental rights ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.</s>"
53,What can be  the punishment for Financial Abuse: Controlling a woman's financial resources,"For the offence of Financial Abuse: Controlling a woman's financial resources, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Financial Abuse: Controlling a woman's financial resources according the law and acts of Nepal? [/INST]  For the offence of Financial Abuse: Controlling a woman's financial resources ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
54,What can be  the punishment for Violation of Voting Rights: Preventing a woman from voting,"For the offence of Violation of Voting Rights: Preventing a woman from voting, the punishment is Legal action to ensure voting rights according to the section of Constitution of Nepal, Article 84.","<s>[INST] What can be  the punishment for Violation of Voting Rights: Preventing a woman from voting according the law and acts of Nepal? [/INST]  For the offence of Violation of Voting Rights: Preventing a woman from voting ,the punishment is Legal action to ensure voting rights according to the section of Constitution of Nepal, Article 84.</s>"
55,What can be  the punishment for Coercion in Political Participation: Forcing a woman to participate or not participate in politics,"For the offence of Coercion in Political Participation: Forcing a woman to participate or not participate in politics, the punishment is Legal action to ensure political rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Coercion in Political Participation: Forcing a woman to participate or not participate in politics according the law and acts of Nepal? [/INST]  For the offence of Coercion in Political Participation: Forcing a woman to participate or not participate in politics ,the punishment is Legal action to ensure political rights according to the section of Constitution of Nepal, Article 38.</s>"
56,What can be  the punishment for Cultural Violence: Harmful traditional practices against women,"For the offence of Cultural Violence: Harmful traditional practices against women, the punishment is Legal action to eliminate harmful practices according to the section of Constitution of Nepal, Article 51.","<s>[INST] What can be  the punishment for Cultural Violence: Harmful traditional practices against women according the law and acts of Nepal? [/INST]  For the offence of Cultural Violence: Harmful traditional practices against women ,the punishment is Legal action to eliminate harmful practices according to the section of Constitution of Nepal, Article 51.</s>"
57,What can be  the punishment for Reproductive Health Violations: Denying reproductive health services,"For the offence of Reproductive Health Violations: Denying reproductive health services, the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Reproductive Health Violations: Denying reproductive health services according the law and acts of Nepal? [/INST]  For the offence of Reproductive Health Violations: Denying reproductive health services ,the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.</s>"
58,What can be  the punishment for Forced Medical Treatment: Coercing a woman into medical procedures,"For the offence of Forced Medical Treatment: Coercing a woman into medical procedures, the punishment is Up to 5 years imprisonment according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Forced Medical Treatment: Coercing a woman into medical procedures according the law and acts of Nepal? [/INST]  For the offence of Forced Medical Treatment: Coercing a woman into medical procedures ,the punishment is Up to 5 years imprisonment according to the section of Constitution of Nepal, Article 35.</s>"
59,What can be  the punishment for Emotional Abuse: Inflicting emotional distress on a woman,"For the offence of Emotional Abuse: Inflicting emotional distress on a woman, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Emotional Abuse: Inflicting emotional distress on a woman according the law and acts of Nepal? [/INST]  For the offence of Emotional Abuse: Inflicting emotional distress on a woman ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
60,What can be  the punishment for Forced Drug Use: Coercing a woman to use drugs,"For the offence of Forced Drug Use: Coercing a woman to use drugs, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Drug Offenses, Section 225.","<s>[INST] What can be  the punishment for Forced Drug Use: Coercing a woman to use drugs according the law and acts of Nepal? [/INST]  For the offence of Forced Drug Use: Coercing a woman to use drugs ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Drug Offenses, Section 225.</s>"
61,What can be  the punishment for Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption,"For the offence of Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption, the punishment is Up to 10 years imprisonment according to the section of Child Rights Act, 2018, Section 66.","<s>[INST] What can be  the punishment for Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption according the law and acts of Nepal? [/INST]  For the offence of Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption ,the punishment is Up to 10 years imprisonment according to the section of Child Rights Act, 2018, Section 66.</s>"
62,What can be  the punishment for Coercive Control: Controlling a woman's behavior through threats or force,"For the offence of Coercive Control: Controlling a woman's behavior through threats or force, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Coercive Control: Controlling a woman's behavior through threats or force according the law and acts of Nepal? [/INST]  For the offence of Coercive Control: Controlling a woman's behavior through threats or force ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
63,What can be  the punishment for Violation of Equal Pay: Paying women less for the same work,"For the offence of Violation of Equal Pay: Paying women less for the same work, the punishment is Legal action to ensure equal pay according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Violation of Equal Pay: Paying women less for the same work according the law and acts of Nepal? [/INST]  For the offence of Violation of Equal Pay: Paying women less for the same work ,the punishment is Legal action to ensure equal pay according to the section of Labor Act, 2017, Section 132.</s>"
64,What can be  the punishment for Public Shaming: Humiliating a woman in public,"For the offence of Public Shaming: Humiliating a woman in public, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Public Shaming: Humiliating a woman in public according the law and acts of Nepal? [/INST]  For the offence of Public Shaming: Humiliating a woman in public ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
65,What can be  the punishment for Sexual Assault: Unwanted sexual contact,"For the offence of Sexual Assault: Unwanted sexual contact, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Assault: Unwanted sexual contact according the law and acts of Nepal? [/INST]  For the offence of Sexual Assault: Unwanted sexual contact ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
66,What can be  the punishment for Intimidation: Threatening a woman to control her actions,"For the offence of Intimidation: Threatening a woman to control her actions, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Intimidation: Threatening a woman to control her actions according the law and acts of Nepal? [/INST]  For the offence of Intimidation: Threatening a woman to control her actions ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
67,What can be  the punishment for Employment Rights Violation: Denying a woman her rights at work,"For the offence of Employment Rights Violation: Denying a woman her rights at work, the punishment is Legal action to restore rights according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Employment Rights Violation: Denying a woman her rights at work according the law and acts of Nepal? [/INST]  For the offence of Employment Rights Violation: Denying a woman her rights at work ,the punishment is Legal action to restore rights according to the section of Labor Act, 2017, Section 132.</s>"
68,What can be  the punishment for Online Harassment: Harassing a woman through online platforms,"For the offence of Online Harassment: Harassing a woman through online platforms, the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Online Harassment: Harassing a woman through online platforms according the law and acts of Nepal? [/INST]  For the offence of Online Harassment: Harassing a woman through online platforms ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
69,What can be  the punishment for Forced Eviction: Evicting a woman from her home without legal cause,"For the offence of Forced Eviction: Evicting a woman from her home without legal cause, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 37.","<s>[INST] What can be  the punishment for Forced Eviction: Evicting a woman from her home without legal cause according the law and acts of Nepal? [/INST]  For the offence of Forced Eviction: Evicting a woman from her home without legal cause ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 37.</s>"
70,What can be  the punishment for Gender-Based Violence by Police: Violence against women by law enforcement,"For the offence of Gender-Based Violence by Police: Violence against women by law enforcement, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Gender-Based Violence by Police: Violence against women by law enforcement according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Violence by Police: Violence against women by law enforcement ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
71,What can be  the punishment for Denial of Legal Rights: Preventing a woman from accessing legal rights,"For the offence of Denial of Legal Rights: Preventing a woman from accessing legal rights, the punishment is Legal action to ensure access to justice according to the section of Constitution of Nepal, Article 20.","<s>[INST] What can be  the punishment for Denial of Legal Rights: Preventing a woman from accessing legal rights according the law and acts of Nepal? [/INST]  For the offence of Denial of Legal Rights: Preventing a woman from accessing legal rights ,the punishment is Legal action to ensure access to justice according to the section of Constitution of Nepal, Article 20.</s>"
72,What can be  the punishment for Violation of Labor Rights: Denying a woman her labor rights,"For the offence of Violation of Labor Rights: Denying a woman her labor rights, the punishment is Legal action to restore rights according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Violation of Labor Rights: Denying a woman her labor rights according the law and acts of Nepal? [/INST]  For the offence of Violation of Labor Rights: Denying a woman her labor rights ,the punishment is Legal action to restore rights according to the section of Labor Act, 2017, Section 132.</s>"
73,What can be  the punishment for Child Labor: Employing a girl child in hazardous work,"For the offence of Child Labor: Employing a girl child in hazardous work, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Child Rights Act, 2018, Section 66.","<s>[INST] What can be  the punishment for Child Labor: Employing a girl child in hazardous work according the law and acts of Nepal? [/INST]  For the offence of Child Labor: Employing a girl child in hazardous work ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Child Rights Act, 2018, Section 66.</s>"
74,What can be  the punishment for Forced Begging: Coercing a woman into begging,"For the offence of Forced Begging: Coercing a woman into begging, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Human Trafficking, Section 230.","<s>[INST] What can be  the punishment for Forced Begging: Coercing a woman into begging according the law and acts of Nepal? [/INST]  For the offence of Forced Begging: Coercing a woman into begging ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Human Trafficking, Section 230.</s>"
75,What can be  the punishment for Violent Extremism: Encouraging violence against women through extremist ideologies,"For the offence of Violent Extremism: Encouraging violence against women through extremist ideologies, the punishment is Legal action to prevent and punish according to the section of Constitution of Nepal, Article 51.","<s>[INST] What can be  the punishment for Violent Extremism: Encouraging violence against women through extremist ideologies according the law and acts of Nepal? [/INST]  For the offence of Violent Extremism: Encouraging violence against women through extremist ideologies ,the punishment is Legal action to prevent and punish according to the section of Constitution of Nepal, Article 51.</s>"
76,What can be  the punishment for Forced Medical Interventions: Coercing a woman into medical procedures without consent,"For the offence of Forced Medical Interventions: Coercing a woman into medical procedures without consent, the punishment is Up to 7 years imprisonment according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Forced Medical Interventions: Coercing a woman into medical procedures without consent according the law and acts of Nepal? [/INST]  For the offence of Forced Medical Interventions: Coercing a woman into medical procedures without consent ,the punishment is Up to 7 years imprisonment according to the section of Constitution of Nepal, Article 35.</s>"
77,What can be  the punishment for Violence Against Pregnant Women: Any form of violence against a pregnant woman,"For the offence of Violence Against Pregnant Women: Any form of violence against a pregnant woman, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Hurt and Battery, Section 193.","<s>[INST] What can be  the punishment for Violence Against Pregnant Women: Any form of violence against a pregnant woman according the law and acts of Nepal? [/INST]  For the offence of Violence Against Pregnant Women: Any form of violence against a pregnant woman ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Hurt and Battery, Section 193.</s>"
78,What can be  the punishment for Gender-Based Workplace Harassment: Harassment at the workplace based on gender,"For the offence of Gender-Based Workplace Harassment: Harassment at the workplace based on gender, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Sexual Harassment at Workplace Prevention Act, 2015, Section 5.","<s>[INST] What can be  the punishment for Gender-Based Workplace Harassment: Harassment at the workplace based on gender according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Workplace Harassment: Harassment at the workplace based on gender ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Sexual Harassment at Workplace Prevention Act, 2015, Section 5.</s>"
79,What can be  the punishment for Coercive Marriage Practices: Forcing a woman into marriage,"For the offence of Coercive Marriage Practices: Forcing a woman into marriage, the punishment is Up to 3 years imprisonment and a fine of up to NPR 10,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 173.","<s>[INST] What can be  the punishment for Coercive Marriage Practices: Forcing a woman into marriage according the law and acts of Nepal? [/INST]  For the offence of Coercive Marriage Practices: Forcing a woman into marriage ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 10,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 173.</s>"
80,What can be  the punishment for Violation of Child Rights: Denying a girl child her legal rights,"For the offence of Violation of Child Rights: Denying a girl child her legal rights, the punishment is Legal action to restore rights according to the section of Child Rights Act, 2018, Section 66.","<s>[INST] What can be  the punishment for Violation of Child Rights: Denying a girl child her legal rights according the law and acts of Nepal? [/INST]  For the offence of Violation of Child Rights: Denying a girl child her legal rights ,the punishment is Legal action to restore rights according to the section of Child Rights Act, 2018, Section 66.</s>"
81,What can be  the punishment for Forced Outing: Disclosing a woman's gender identity or sexual orientation without consent,"For the offence of Forced Outing: Disclosing a woman's gender identity or sexual orientation without consent, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 28.","<s>[INST] What can be  the punishment for Forced Outing: Disclosing a woman's gender identity or sexual orientation without consent according the law and acts of Nepal? [/INST]  For the offence of Forced Outing: Disclosing a woman's gender identity or sexual orientation without consent ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 28.</s>"
82,What can be  the punishment for Gender-Based Violence in Custody: Violence against women in detention,"For the offence of Gender-Based Violence in Custody: Violence against women in detention, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Gender-Based Violence in Custody: Violence against women in detention according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Violence in Custody: Violence against women in detention ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
83,What can be  the punishment for Violation of Domestic Rights: Denying a woman her rights within the household,"For the offence of Violation of Domestic Rights: Denying a woman her rights within the household, the punishment is Legal action to restore rights according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Violation of Domestic Rights: Denying a woman her rights within the household according the law and acts of Nepal? [/INST]  For the offence of Violation of Domestic Rights: Denying a woman her rights within the household ,the punishment is Legal action to restore rights according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
84,What can be  the punishment for Forced Military Service: Coercing a woman into military service,"For the offence of Forced Military Service: Coercing a woman into military service, the punishment is Legal action to prevent and punish according to the section of Constitution of Nepal, Article 45.","<s>[INST] What can be  the punishment for Forced Military Service: Coercing a woman into military service according the law and acts of Nepal? [/INST]  For the offence of Forced Military Service: Coercing a woman into military service ,the punishment is Legal action to prevent and punish according to the section of Constitution of Nepal, Article 45.</s>"
85,What can be  the punishment for Gender-Based Immigration Control: Discriminatory practices in immigration based on gender,"For the offence of Gender-Based Immigration Control: Discriminatory practices in immigration based on gender, the punishment is Legal action to ensure non-discrimination according to the section of Constitution of Nepal, Article 18.","<s>[INST] What can be  the punishment for Gender-Based Immigration Control: Discriminatory practices in immigration based on gender according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Immigration Control: Discriminatory practices in immigration based on gender ,the punishment is Legal action to ensure non-discrimination according to the section of Constitution of Nepal, Article 18.</s>"
86,What can be  the punishment for Violation of Voting Rights: Preventing a woman from exercising her voting rights,"For the offence of Violation of Voting Rights: Preventing a woman from exercising her voting rights, the punishment is Legal action to ensure voting rights according to the section of Constitution of Nepal, Article 84.","<s>[INST] What can be  the punishment for Violation of Voting Rights: Preventing a woman from exercising her voting rights according the law and acts of Nepal? [/INST]  For the offence of Violation of Voting Rights: Preventing a woman from exercising her voting rights ,the punishment is Legal action to ensure voting rights according to the section of Constitution of Nepal, Article 84.</s>"
87,"What can be  the punishment for Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship","For the offence of Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship according the law and acts of Nepal? [/INST]  For the offence of Domestic Violence: Physical, mental, sexual, and economic abuse within a domestic relationship ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
88,What can be  the punishment for Rape: Non-consensual sexual intercourse with a person,"For the offence of Rape: Non-consensual sexual intercourse with a person, the punishment is 10 to 20 years imprisonment depending on the circumstances and the age of the victim according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219.","<s>[INST] What can be  the punishment for Rape: Non-consensual sexual intercourse with a person according the law and acts of Nepal? [/INST]  For the offence of Rape: Non-consensual sexual intercourse with a person ,the punishment is 10 to 20 years imprisonment depending on the circumstances and the age of the victim according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219.</s>"
89,"What can be  the punishment for Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature","For the offence of Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Sexual Harassment at Workplace Prevention Act, 2015, Section 5.","<s>[INST] What can be  the punishment for Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature according the law and acts of Nepal? [/INST]  For the offence of Sexual Harassment: Unwelcome sexual advances, requests for sexual favors, and other verbal or physical harassment of a sexual nature ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Sexual Harassment at Workplace Prevention Act, 2015, Section 5.</s>"
90,What can be  the punishment for Child Marriage: The marriage of a child below the legal age of 20 years,"For the offence of Child Marriage: The marriage of a child below the legal age of 20 years, the punishment is Up to 3 years imprisonment and a fine of up to NPR 10,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 173.","<s>[INST] What can be  the punishment for Child Marriage: The marriage of a child below the legal age of 20 years according the law and acts of Nepal? [/INST]  For the offence of Child Marriage: The marriage of a child below the legal age of 20 years ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 10,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 173.</s>"
91,"What can be  the punishment for Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation","For the offence of Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation, the punishment is Up to 20 years imprisonment and a fine of up to NPR 200,000 according to the section of Human Trafficking and Transportation (Control) Act, 2007, Section 3.","<s>[INST] What can be  the punishment for Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation according the law and acts of Nepal? [/INST]  For the offence of Human Trafficking: Recruiting, transporting, harboring, or receiving persons for exploitation ,the punishment is Up to 20 years imprisonment and a fine of up to NPR 200,000 according to the section of Human Trafficking and Transportation (Control) Act, 2007, Section 3.</s>"
92,What can be  the punishment for Acid Attack: Causing harm to another person using acid or other corrosive substances,"For the offence of Acid Attack: Causing harm to another person using acid or other corrosive substances, the punishment is Up to 20 years imprisonment and a fine of up to NPR 1,000,000 according to the section of Muluki Ain (General Code), Chapter on Hurt and Battery, Section 193.","<s>[INST] What can be  the punishment for Acid Attack: Causing harm to another person using acid or other corrosive substances according the law and acts of Nepal? [/INST]  For the offence of Acid Attack: Causing harm to another person using acid or other corrosive substances ,the punishment is Up to 20 years imprisonment and a fine of up to NPR 1,000,000 according to the section of Muluki Ain (General Code), Chapter on Hurt and Battery, Section 193.</s>"
93,What can be  the punishment for Dowry-Related Violence: Violence inflicted on a woman over dowry demands,"For the offence of Dowry-Related Violence: Violence inflicted on a woman over dowry demands, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 175.","<s>[INST] What can be  the punishment for Dowry-Related Violence: Violence inflicted on a woman over dowry demands according the law and acts of Nepal? [/INST]  For the offence of Dowry-Related Violence: Violence inflicted on a woman over dowry demands ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Marriage, Section 175.</s>"
94,What can be  the punishment for Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft,"For the offence of Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Witchcraft-related Accusation (Crime and Punishment) Act, 2015, Section 3.","<s>[INST] What can be  the punishment for Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft according the law and acts of Nepal? [/INST]  For the offence of Witchcraft Accusation and Violence: Violence against a person accused of practicing witchcraft ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Witchcraft-related Accusation (Crime and Punishment) Act, 2015, Section 3.</s>"
95,What can be  the punishment for Forced Prostitution: Coercing someone into prostitution,"For the offence of Forced Prostitution: Coercing someone into prostitution, the punishment is Up to 15 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Prostitution, Section 225.","<s>[INST] What can be  the punishment for Forced Prostitution: Coercing someone into prostitution according the law and acts of Nepal? [/INST]  For the offence of Forced Prostitution: Coercing someone into prostitution ,the punishment is Up to 15 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Prostitution, Section 225.</s>"
96,What can be  the punishment for Forced Labor: Compelling a person to work against their will,"For the offence of Forced Labor: Compelling a person to work against their will, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.","<s>[INST] What can be  the punishment for Forced Labor: Compelling a person to work against their will according the law and acts of Nepal? [/INST]  For the offence of Forced Labor: Compelling a person to work against their will ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.</s>"
97,What can be  the punishment for Equal Rights to Property: Ensuring equal property rights for women,"For the offence of Equal Rights to Property: Ensuring equal property rights for women, the punishment is Provision of equal property rights according to the section of Constitution of Nepal, Article 18 and Article 38.","<s>[INST] What can be  the punishment for Equal Rights to Property: Ensuring equal property rights for women according the law and acts of Nepal? [/INST]  For the offence of Equal Rights to Property: Ensuring equal property rights for women ,the punishment is Provision of equal property rights according to the section of Constitution of Nepal, Article 18 and Article 38.</s>"
98,What can be  the punishment for Gender Discrimination: Any form of discrimination based on gender,"For the offence of Gender Discrimination: Any form of discrimination based on gender, the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.","<s>[INST] What can be  the punishment for Gender Discrimination: Any form of discrimination based on gender according the law and acts of Nepal? [/INST]  For the offence of Gender Discrimination: Any form of discrimination based on gender ,the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.</s>"
99,What can be  the punishment for Marital Rape: Non-consensual intercourse by a spouse,"For the offence of Marital Rape: Non-consensual intercourse by a spouse, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219 (Amendment).","<s>[INST] What can be  the punishment for Marital Rape: Non-consensual intercourse by a spouse according the law and acts of Nepal? [/INST]  For the offence of Marital Rape: Non-consensual intercourse by a spouse ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219 (Amendment).</s>"
100,What can be  the punishment for Forced Abortion: Coercing a woman to terminate a pregnancy,"For the offence of Forced Abortion: Coercing a woman to terminate a pregnancy, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.","<s>[INST] What can be  the punishment for Forced Abortion: Coercing a woman to terminate a pregnancy according the law and acts of Nepal? [/INST]  For the offence of Forced Abortion: Coercing a woman to terminate a pregnancy ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.</s>"
101,What can be  the punishment for Sexual Exploitation: Exploiting someone sexually for personal gain,"For the offence of Sexual Exploitation: Exploiting someone sexually for personal gain, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Exploitation: Exploiting someone sexually for personal gain according the law and acts of Nepal? [/INST]  For the offence of Sexual Exploitation: Exploiting someone sexually for personal gain ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
102,What can be  the punishment for Stalking: Repeatedly following or harassing someone,"For the offence of Stalking: Repeatedly following or harassing someone, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Stalking: Repeatedly following or harassing someone according the law and acts of Nepal? [/INST]  For the offence of Stalking: Repeatedly following or harassing someone ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
